"review","sentiment positive","sentiment negative","sentiment neutral","sentiment isPositive","sentiment isNegative","sentiment isNeutral","Quality Issue","Quantity Issue","Taste Issue","Packaging Issue","Delivery Timing Issue","Price Issue","Cooking Issue","Freshness Issue","Staleness Issue","Hardness Issue","Spice Issue","Temperature Issue","Wrong Food Issue","Hygiene Issue","Missing Food Issue","Oiliness Issue","Out of Stock Issue","Foreign Object Issue"
"don(@single_quotes@)t pay for anything extra like extra cheese or toppings cause they won(@single_quotes@)t add it to your food.",0,0.5,0.5,false,true,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
"cheesesteaks were good, but would have preferred plain bread instead of buttered bread. there was confusion with the order and computer system so took much longer than expected. ",0.2,0.4,0.4,false,true,false,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
"the sandwich was delicious, but the french fries were terribly under cooked. they were white and raw. for 4.99 for fries, they should at least be cooked properly. it ruined what would(@single_quotes@)ve been a perfect lunch",0.2,0.8,0,false,true,false,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
"i didn(@single_quotes@)t get my food i didn(@single_quotes@)t even get the right restaurant ",0,0.8,0.2,false,true,false,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0
"ordered the philly. sore said never received  order.  had to cme back to get. food was not great. this is not a grilled cheesesteak.the bread is toated  but the meat tasted like its in a heating station waiting in liquid until they are ready to assemble the sandwich. wont order again. ",0,0.8,0.2,false,true,false,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
"way to salty! waaayy to salty and the fries are plain. they tasted like mcdonald(@single_quotes@)s fries with no salt left over night. ",0.1,0.9,0,false,true,false,50,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nothing was right and got no refund",0,1,0,false,true,false,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"siklovin was very upset he said the sandwaich was bland. ",0,0.8,0.2,false,true,false,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"food was horrible sandwitch was ashes and my fries was frozen ",0,1,0,false,true,false,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sent the wrong order and doordash now takes 24 hours to even fix it this is a complete joke
",0,1,0,false,true,false,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0
"it was too salty never will order from this place again",0,1,0,false,true,false,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"frito bandito and cheesesteak daddy were terrible ",0,1,0,false,true,false,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"will not again order from here.  the phili was so salty i couldn(@single_quotes@)t eat it.  i ordered double the meat, which the meat was so dried out.  there are better cheese steaks at gas stations.  i also ordered a coke, which ended up being a $3 can of coke.  an absolute waste of money!!!",0,0.9,0.1,false,true,false,100,100,100,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0
"coulda been cheesier",0,0.6,0.4,false,true,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
